Question Number,Link,Category
35,https://www.examtopics.com/discussions/oracle/view/98376-exam-1z0-819-topic-1-question-35-discussion/,Collections/Streams/Generics/Functional Prog
36,https://www.examtopics.com/discussions/oracle/view/107656-exam-1z0-819-topic-1-question-36-discussion/,Basics
37,https://www.examtopics.com/discussions/oracle/view/92578-exam-1z0-819-topic-1-question-37-discussion/,Inner classes
38,https://www.examtopics.com/discussions/oracle/view/98382-exam-1z0-819-topic-1-question-38-discussion/,Concurrency
39,https://www.examtopics.com/discussions/oracle/view/98383-exam-1z0-819-topic-1-question-39-discussion/,Collections/Streams/Generics/Functional Prog
40,https://www.examtopics.com/discussions/oracle/view/98340-exam-1z0-819-topic-1-question-40-discussion/,Basics
41,https://www.examtopics.com/discussions/oracle/view/97918-exam-1z0-819-topic-1-question-41-discussion/,Collections/Streams/Generics/Functional Prog
42,https://www.examtopics.com/discussions/oracle/view/98384-exam-1z0-819-topic-1-question-42-discussion/,Annotations
43,https://www.examtopics.com/discussions/oracle/view/92758-exam-1z0-819-topic-1-question-43-discussion/,OOP
44,https://www.examtopics.com/discussions/oracle/view/92759-exam-1z0-819-topic-1-question-44-discussion/,Collections/Streams/Generics/Functional Prog
45,https://www.examtopics.com/discussions/oracle/view/92763-exam-1z0-819-topic-1-question-45-discussion/,OOP
46,https://www.examtopics.com/discussions/oracle/view/92764-exam-1z0-819-topic-1-question-46-discussion/,OOP
47,https://www.examtopics.com/discussions/oracle/view/92766-exam-1z0-819-topic-1-question-47-discussion/,OOP
48,https://www.examtopics.com/discussions/oracle/view/92767-exam-1z0-819-topic-1-question-48-discussion/,Collections/Streams/Generics/Functional Prog
49,https://www.examtopics.com/discussions/oracle/view/92768-exam-1z0-819-topic-1-question-49-discussion/,Exceptions Handling/optional
50,https://www.examtopics.com/discussions/oracle/view/98111-exam-1z0-819-topic-1-question-50-discussion/,OOP
51,https://www.examtopics.com/discussions/oracle/view/113560-exam-1z0-819-topic-1-question-51-discussion/,Unknown
52,https://www.examtopics.com/discussions/oracle/view/98110-exam-1z0-819-topic-1-question-52-discussion/,OOP
53,https://www.examtopics.com/discussions/oracle/view/92769-exam-1z0-819-topic-1-question-53-discussion/,Basics
54,https://www.examtopics.com/discussions/oracle/view/92774-exam-1z0-819-topic-1-question-54-discussion/,OOP
55,https://www.examtopics.com/discussions/oracle/view/98109-exam-1z0-819-topic-1-question-55-discussion/,Collections/Streams/Generics/Functional Prog
56,https://www.examtopics.com/discussions/oracle/view/98108-exam-1z0-819-topic-1-question-56-discussion/,Exceptions Handling/optional
57,https://www.examtopics.com/discussions/oracle/view/97574-exam-1z0-819-topic-1-question-57-discussion/,Annotations
58,https://www.examtopics.com/discussions/oracle/view/92845-exam-1z0-819-topic-1-question-58-discussion/,OOP
59,https://www.examtopics.com/discussions/oracle/view/97679-exam-1z0-819-topic-1-question-59-discussion/,OOP
60,https://www.examtopics.com/discussions/oracle/view/113587-exam-1z0-819-topic-1-question-60-discussion/,Security
61,https://www.examtopics.com/discussions/oracle/view/111409-exam-1z0-819-topic-1-question-61-discussion/,Concurrency
62,https://www.examtopics.com/discussions/oracle/view/98342-exam-1z0-819-topic-1-question-62-discussion/,Basics
63,https://www.examtopics.com/discussions/oracle/view/110770-exam-1z0-819-topic-1-question-63-discussion/,Collections/Streams/Generics/Functional Prog
64,https://www.examtopics.com/discussions/oracle/view/97575-exam-1z0-819-topic-1-question-64-discussion/,Unknown
65,https://www.examtopics.com/discussions/oracle/view/97577-exam-1z0-819-topic-1-question-65-discussion/,OOP
66,https://www.examtopics.com/discussions/oracle/view/111089-exam-1z0-819-topic-1-question-66-discussion/,Basics
67,https://www.examtopics.com/discussions/oracle/view/98343-exam-1z0-819-topic-1-question-67-discussion/,enums
68,https://www.examtopics.com/discussions/oracle/view/98446-exam-1z0-819-topic-1-question-68-discussion/,Basics
69,https://www.examtopics.com/discussions/oracle/view/109660-exam-1z0-819-topic-1-question-69-discussion/,Annotations
70,https://www.examtopics.com/discussions/oracle/view/109661-exam-1z0-819-topic-1-question-70-discussion/,OOP
71,https://www.examtopics.com/discussions/oracle/view/101212-exam-1z0-819-topic-1-question-71-discussion/,Exceptions Handling/optional
72,https://www.examtopics.com/discussions/oracle/view/109662-exam-1z0-819-topic-1-question-72-discussion/,Collections/Streams/Generics/Functional Prog
73,https://www.examtopics.com/discussions/oracle/view/111426-exam-1z0-819-topic-1-question-73-discussion/,Exceptions Handling/optional
74,https://www.examtopics.com/discussions/oracle/view/111427-exam-1z0-819-topic-1-question-74-discussion/,Collections/Streams/Generics/Functional Prog
75,https://www.examtopics.com/discussions/oracle/view/109997-exam-1z0-819-topic-1-question-75-discussion/,Basics
76,https://www.examtopics.com/discussions/oracle/view/111429-exam-1z0-819-topic-1-question-76-discussion/,OOP
77,https://www.examtopics.com/discussions/oracle/view/111433-exam-1z0-819-topic-1-question-77-discussion/,Basics
78,https://www.examtopics.com/discussions/oracle/view/113601-exam-1z0-819-topic-1-question-78-discussion/,Unknown
79,https://www.examtopics.com/discussions/oracle/view/100252-exam-1z0-819-topic-1-question-79-discussion/,Basics
80,https://www.examtopics.com/discussions/oracle/view/98344-exam-1z0-819-topic-1-question-80-discussion/,OOP
81,https://www.examtopics.com/discussions/oracle/view/113602-exam-1z0-819-topic-1-question-81-discussion/,Concurrency
82,https://www.examtopics.com/discussions/oracle/view/98345-exam-1z0-819-topic-1-question-82-discussion/,Unknown
83,https://www.examtopics.com/discussions/oracle/view/113604-exam-1z0-819-topic-1-question-83-discussion/,Unknown
84,https://www.examtopics.com/discussions/oracle/view/113605-exam-1z0-819-topic-1-question-84-discussion/,JDBC
85,https://www.examtopics.com/discussions/oracle/view/113607-exam-1z0-819-topic-1-question-85-discussion/,OOP
86,https://www.examtopics.com/discussions/oracle/view/113608-exam-1z0-819-topic-1-question-86-discussion/,Collections/Streams/Generics/Functional Prog
87,https://www.examtopics.com/discussions/oracle/view/111437-exam-1z0-819-topic-1-question-87-discussion/,Collections/Streams/Generics/Functional Prog
88,https://www.examtopics.com/discussions/oracle/view/98348-exam-1z0-819-topic-1-question-88-discussion/,Basics
89,https://www.examtopics.com/discussions/oracle/view/115677-exam-1z0-819-topic-1-question-89-discussion/,Basics
90,https://www.examtopics.com/discussions/oracle/view/111438-exam-1z0-819-topic-1-question-90-discussion/,OOP
91,https://www.examtopics.com/discussions/oracle/view/111444-exam-1z0-819-topic-1-question-91-discussion/,Collections/Streams/Generics/Functional Prog
92,https://www.examtopics.com/discussions/oracle/view/98349-exam-1z0-819-topic-1-question-92-discussion/,Collections/Streams/Generics/Functional Prog
93,https://www.examtopics.com/discussions/oracle/view/97928-exam-1z0-819-topic-1-question-93-discussion/,Basics
94,https://www.examtopics.com/discussions/oracle/view/111449-exam-1z0-819-topic-1-question-94-discussion/,Basics
95,https://www.examtopics.com/discussions/oracle/view/115682-exam-1z0-819-topic-1-question-95-discussion/,OOP
96,https://www.examtopics.com/discussions/oracle/view/100330-exam-1z0-819-topic-1-question-96-discussion/,OOP
97,https://www.examtopics.com/discussions/oracle/view/115687-exam-1z0-819-topic-1-question-97-discussion/,OOP
98,https://www.examtopics.com/discussions/oracle/view/115688-exam-1z0-819-topic-1-question-98-discussion/,OOP
99,https://www.examtopics.com/discussions/oracle/view/119593-exam-1z0-819-topic-1-question-99-discussion/,Basics
100,https://www.examtopics.com/discussions/oracle/view/115689-exam-1z0-819-topic-1-question-100-discussion/,Collections/Streams/Generics/Functional Prog
101,https://www.examtopics.com/discussions/oracle/view/115778-exam-1z0-819-topic-1-question-101-discussion/,Exceptions Handling/optional
102,https://www.examtopics.com/discussions/oracle/view/98028-exam-1z0-819-topic-1-question-102-discussion/,Basics
103,https://www.examtopics.com/discussions/oracle/view/98455-exam-1z0-819-topic-1-question-103-discussion/,Collections/Streams/Generics/Functional Prog
104,https://www.examtopics.com/discussions/oracle/view/115780-exam-1z0-819-topic-1-question-104-discussion/,OOP
105,https://www.examtopics.com/discussions/oracle/view/115781-exam-1z0-819-topic-1-question-105-discussion/,Unknown
106,https://www.examtopics.com/discussions/oracle/view/114439-exam-1z0-819-topic-1-question-106-discussion/,Unknown
107,https://www.examtopics.com/discussions/oracle/view/115782-exam-1z0-819-topic-1-question-107-discussion/,Basics
108,https://www.examtopics.com/discussions/oracle/view/125913-exam-1z0-819-topic-1-question-108-discussion/,OOP
109,https://www.examtopics.com/discussions/oracle/view/114582-exam-1z0-819-topic-1-question-109-discussion/,OOP
110,https://www.examtopics.com/discussions/oracle/view/98351-exam-1z0-819-topic-1-question-110-discussion/,Collections/Streams/Generics/Functional Prog
111,https://www.examtopics.com/discussions/oracle/view/119446-exam-1z0-819-topic-1-question-111-discussion/,Unknown
112,https://www.examtopics.com/discussions/oracle/view/98459-exam-1z0-819-topic-1-question-112-discussion/,OOP
113,https://www.examtopics.com/discussions/oracle/view/115785-exam-1z0-819-topic-1-question-113-discussion/,Inner classes
114,https://www.examtopics.com/discussions/oracle/view/100499-exam-1z0-819-topic-1-question-114-discussion/,Concurrency
115,https://www.examtopics.com/discussions/oracle/view/114581-exam-1z0-819-topic-1-question-115-discussion/,IO
116,https://www.examtopics.com/discussions/oracle/view/115787-exam-1z0-819-topic-1-question-116-discussion/,Unknown
117,https://www.examtopics.com/discussions/oracle/view/101221-exam-1z0-819-topic-1-question-117-discussion/,Collections/Streams/Generics/Functional Prog
118,https://www.examtopics.com/discussions/oracle/view/100501-exam-1z0-819-topic-1-question-118-discussion/,Collections/Streams/Generics/Functional Prog
119,https://www.examtopics.com/discussions/oracle/view/121808-exam-1z0-819-topic-1-question-119-discussion/,JDBC
120,https://www.examtopics.com/discussions/oracle/view/115071-exam-1z0-819-topic-1-question-120-discussion/,Basics
121,https://www.examtopics.com/discussions/oracle/view/100502-exam-1z0-819-topic-1-question-121-discussion/,Collections/Streams/Generics/Functional Prog
122,https://www.examtopics.com/discussions/oracle/view/115895-exam-1z0-819-topic-1-question-122-discussion/,IO
123,https://www.examtopics.com/discussions/oracle/view/100504-exam-1z0-819-topic-1-question-123-discussion/,Exceptions Handling/optional
124,https://www.examtopics.com/discussions/oracle/view/114570-exam-1z0-819-topic-1-question-124-discussion/,Collections/Streams/Generics/Functional Prog
125,https://www.examtopics.com/discussions/oracle/view/115074-exam-1z0-819-topic-1-question-125-discussion/,IO
126,https://www.examtopics.com/discussions/oracle/view/115896-exam-1z0-819-topic-1-question-126-discussion/,Concurrency
127,https://www.examtopics.com/discussions/oracle/view/115899-exam-1z0-819-topic-1-question-127-discussion/,Unknown
128,https://www.examtopics.com/discussions/oracle/view/116771-exam-1z0-819-topic-1-question-128-discussion/,Unknown
129,https://www.examtopics.com/discussions/oracle/view/121814-exam-1z0-819-topic-1-question-129-discussion/,Collections/Streams/Generics/Functional Prog
130,https://www.examtopics.com/discussions/oracle/view/130658-exam-1z0-819-topic-1-question-130-discussion/,JDBC
131,https://www.examtopics.com/discussions/oracle/view/115903-exam-1z0-819-topic-1-question-131-discussion/,Collections/Streams/Generics/Functional Prog
132,https://www.examtopics.com/discussions/oracle/view/115904-exam-1z0-819-topic-1-question-132-discussion/,Collections/Streams/Generics/Functional Prog
133,https://www.examtopics.com/discussions/oracle/view/115905-exam-1z0-819-topic-1-question-133-discussion/,Annotations
134,https://www.examtopics.com/discussions/oracle/view/114546-exam-1z0-819-topic-1-question-134-discussion/,OOP
135,https://www.examtopics.com/discussions/oracle/view/122151-exam-1z0-819-topic-1-question-135-discussion/,Collections/Streams/Generics/Functional Prog
136,https://www.examtopics.com/discussions/oracle/view/115907-exam-1z0-819-topic-1-question-136-discussion/,Basics
137,https://www.examtopics.com/discussions/oracle/view/114516-exam-1z0-819-topic-1-question-137-discussion/,OOP
138,https://www.examtopics.com/discussions/oracle/view/116773-exam-1z0-819-topic-1-question-138-discussion/,Unknown
139,https://www.examtopics.com/discussions/oracle/view/116008-exam-1z0-819-topic-1-question-139-discussion/,Basics
140,https://www.examtopics.com/discussions/oracle/view/114489-exam-1z0-819-topic-1-question-140-discussion/,Collections/Streams/Generics/Functional Prog
141,https://www.examtopics.com/discussions/oracle/view/113393-exam-1z0-819-topic-1-question-141-discussion/,OOP
142,https://www.examtopics.com/discussions/oracle/view/116009-exam-1z0-819-topic-1-question-142-discussion/,Basics
143,https://www.examtopics.com/discussions/oracle/view/116010-exam-1z0-819-topic-1-question-143-discussion/,Basics
144,https://www.examtopics.com/discussions/oracle/view/116011-exam-1z0-819-topic-1-question-144-discussion/,Basics
145,https://www.examtopics.com/discussions/oracle/view/113389-exam-1z0-819-topic-1-question-145-discussion/,IO
146,https://www.examtopics.com/discussions/oracle/view/113390-exam-1z0-819-topic-1-question-146-discussion/,OOP
147,https://www.examtopics.com/discussions/oracle/view/116012-exam-1z0-819-topic-1-question-147-discussion/,Ressource bundle and Locales / Date API
148,https://www.examtopics.com/discussions/oracle/view/116776-exam-1z0-819-topic-1-question-148-discussion/,Unknown
149,https://www.examtopics.com/discussions/oracle/view/116013-exam-1z0-819-topic-1-question-149-discussion/,OOP
150,https://www.examtopics.com/discussions/oracle/view/119533-exam-1z0-819-topic-1-question-150-discussion/,IO
151,https://www.examtopics.com/discussions/oracle/view/116014-exam-1z0-819-topic-1-question-151-discussion/,Basics
152,https://www.examtopics.com/discussions/oracle/view/114613-exam-1z0-819-topic-1-question-152-discussion/,Collections/Streams/Generics/Functional Prog
153,https://www.examtopics.com/discussions/oracle/view/114490-exam-1z0-819-topic-1-question-153-discussion/,Collections/Streams/Generics/Functional Prog
154,https://www.examtopics.com/discussions/oracle/view/114491-exam-1z0-819-topic-1-question-154-discussion/,Basics
155,https://www.examtopics.com/discussions/oracle/view/114495-exam-1z0-819-topic-1-question-155-discussion/,IO
156,https://www.examtopics.com/discussions/oracle/view/116015-exam-1z0-819-topic-1-question-156-discussion/,IO
157,https://www.examtopics.com/discussions/oracle/view/114496-exam-1z0-819-topic-1-question-157-discussion/,Basics
158,https://www.examtopics.com/discussions/oracle/view/119537-exam-1z0-819-topic-1-question-158-discussion/,OOP
159,https://www.examtopics.com/discussions/oracle/view/114612-exam-1z0-819-topic-1-question-159-discussion/,Collections/Streams/Generics/Functional Prog
160,https://www.examtopics.com/discussions/oracle/view/116016-exam-1z0-819-topic-1-question-160-discussion/,Collections/Streams/Generics/Functional Prog
161,https://www.examtopics.com/discussions/oracle/view/114609-exam-1z0-819-topic-1-question-161-discussion/,OOP
162,https://www.examtopics.com/discussions/oracle/view/114498-exam-1z0-819-topic-1-question-162-discussion/,Basics
163,https://www.examtopics.com/discussions/oracle/view/116017-exam-1z0-819-topic-1-question-163-discussion/,Collections/Streams/Generics/Functional Prog
164,https://www.examtopics.com/discussions/oracle/view/114610-exam-1z0-819-topic-1-question-164-discussion/,Collections/Streams/Generics/Functional Prog
165,https://www.examtopics.com/discussions/oracle/view/119545-exam-1z0-819-topic-1-question-165-discussion/,Collections/Streams/Generics/Functional Prog
166,https://www.examtopics.com/discussions/oracle/view/114607-exam-1z0-819-topic-1-question-166-discussion/,OOP
167,https://www.examtopics.com/discussions/oracle/view/114505-exam-1z0-819-topic-1-question-167-discussion/,Basics
168,https://www.examtopics.com/discussions/oracle/view/114508-exam-1z0-819-topic-1-question-168-discussion/,Basics
169,https://www.examtopics.com/discussions/oracle/view/114608-exam-1z0-819-topic-1-question-169-discussion/,Unknown
170,https://www.examtopics.com/discussions/oracle/view/116068-exam-1z0-819-topic-1-question-170-discussion/,Collections/Streams/Generics/Functional Prog
171,https://www.examtopics.com/discussions/oracle/view/116069-exam-1z0-819-topic-1-question-171-discussion/,Concurrency
172,https://www.examtopics.com/discussions/oracle/view/114509-exam-1z0-819-topic-1-question-172-discussion/,Basics
173,https://www.examtopics.com/discussions/oracle/view/114510-exam-1z0-819-topic-1-question-173-discussion/,Basics
174,https://www.examtopics.com/discussions/oracle/view/114605-exam-1z0-819-topic-1-question-174-discussion/,Collections/Streams/Generics/Functional Prog
175,https://www.examtopics.com/discussions/oracle/view/116071-exam-1z0-819-topic-1-question-175-discussion/,Collections/Streams/Generics/Functional Prog
176,https://www.examtopics.com/discussions/oracle/view/114606-exam-1z0-819-topic-1-question-176-discussion/,Unknown
177,https://www.examtopics.com/discussions/oracle/view/114604-exam-1z0-819-topic-1-question-177-discussion/,Basics
178,https://www.examtopics.com/discussions/oracle/view/130734-exam-1z0-819-topic-1-question-178-discussion/,Annotations
179,https://www.examtopics.com/discussions/oracle/view/130735-exam-1z0-819-topic-1-question-179-discussion/,IO
180,https://www.examtopics.com/discussions/oracle/view/130736-exam-1z0-819-topic-1-question-180-discussion/,enums
181,https://www.examtopics.com/discussions/oracle/view/130352-exam-1z0-819-topic-1-question-181-discussion/,Collections/Streams/Generics/Functional Prog
182,https://www.examtopics.com/discussions/oracle/view/130737-exam-1z0-819-topic-1-question-182-discussion/,Ressource bundle and Locales / Date API
183,https://www.examtopics.com/discussions/oracle/view/129278-exam-1z0-819-topic-1-question-183-discussion/,Collections/Streams/Generics/Functional Prog
184,https://www.examtopics.com/discussions/oracle/view/130227-exam-1z0-819-topic-1-question-184-discussion/,Basics
185,https://www.examtopics.com/discussions/oracle/view/130738-exam-1z0-819-topic-1-question-185-discussion/,IO
186,https://www.examtopics.com/discussions/oracle/view/130229-exam-1z0-819-topic-1-question-186-discussion/,Collections/Streams/Generics/Functional Prog
187,https://www.examtopics.com/discussions/oracle/view/130351-exam-1z0-819-topic-1-question-187-discussion/,Collections/Streams/Generics/Functional Prog
188,https://www.examtopics.com/discussions/oracle/view/130322-exam-1z0-819-topic-1-question-188-discussion/,Collections/Streams/Generics/Functional Prog
189,https://www.examtopics.com/discussions/oracle/view/130233-exam-1z0-819-topic-1-question-189-discussion/,Security
190,https://www.examtopics.com/discussions/oracle/view/130739-exam-1z0-819-topic-1-question-190-discussion/,Collections/Streams/Generics/Functional Prog
192,https://www.examtopics.com/discussions/oracle/view/130238-exam-1z0-819-topic-1-question-192-discussion/,Unknown
193,https://www.examtopics.com/discussions/oracle/view/130743-exam-1z0-819-topic-1-question-193-discussion/,Basics
194,https://www.examtopics.com/discussions/oracle/view/130744-exam-1z0-819-topic-1-question-194-discussion/,Basics
195,https://www.examtopics.com/discussions/oracle/view/130243-exam-1z0-819-topic-1-question-195-discussion/,Collections/Streams/Generics/Functional Prog
196,https://www.examtopics.com/discussions/oracle/view/129747-exam-1z0-819-topic-1-question-196-discussion/,Ressource bundle and Locales / Date API
197,https://www.examtopics.com/discussions/oracle/view/130329-exam-1z0-819-topic-1-question-197-discussion/,Unknown
198,https://www.examtopics.com/discussions/oracle/view/130745-exam-1z0-819-topic-1-question-198-discussion/,JDBC
199,https://www.examtopics.com/discussions/oracle/view/130707-exam-1z0-819-topic-1-question-199-discussion/,Basics
200,https://www.examtopics.com/discussions/oracle/view/130691-exam-1z0-819-topic-1-question-200-discussion/,Basics
201,https://www.examtopics.com/discussions/oracle/view/130331-exam-1z0-819-topic-1-question-201-discussion/,Annotations
202,https://www.examtopics.com/discussions/oracle/view/130338-exam-1z0-819-topic-1-question-202-discussion/,Collections/Streams/Generics/Functional Prog
203,https://www.examtopics.com/discussions/oracle/view/130339-exam-1z0-819-topic-1-question-203-discussion/,Exceptions Handling/optional
204,https://www.examtopics.com/discussions/oracle/view/130216-exam-1z0-819-topic-1-question-204-discussion/,Collections/Streams/Generics/Functional Prog
205,https://www.examtopics.com/discussions/oracle/view/130190-exam-1z0-819-topic-1-question-205-discussion/,Exceptions Handling/optional
206,https://www.examtopics.com/discussions/oracle/view/130137-exam-1z0-819-topic-1-question-206-discussion/,Concurrency
207,https://www.examtopics.com/discussions/oracle/view/130747-exam-1z0-819-topic-1-question-207-discussion/,Inner classes
208,https://www.examtopics.com/discussions/oracle/view/130748-exam-1z0-819-topic-1-question-208-discussion/,Unknown
209,https://www.examtopics.com/discussions/oracle/view/130751-exam-1z0-819-topic-1-question-209-discussion/,Basics
210,https://www.examtopics.com/discussions/oracle/view/129597-exam-1z0-819-topic-1-question-210-discussion/,Collections/Streams/Generics/Functional Prog
211,https://www.examtopics.com/discussions/oracle/view/129467-exam-1z0-819-topic-1-question-211-discussion/,Collections/Streams/Generics/Functional Prog
212,https://www.examtopics.com/discussions/oracle/view/129459-exam-1z0-819-topic-1-question-212-discussion/,Basics
213,https://www.examtopics.com/discussions/oracle/view/129379-exam-1z0-819-topic-1-question-213-discussion/,Collections/Streams/Generics/Functional Prog
